rule_id,policy,validation_rule,Correctness Score,Concept Coverage,Reasoning Score,Missing Concepts,Engagement Score,Confidence Score,Hesitation Score,Eye Contact Score,Difficulty,Correct Streak,Wrong Streak,Policy,Rule_ID
7,Maintain Difficulty,Semantic features are inconsistent,33,45,74,4,0.305,0.373,0.341,0.431,Hard,0,1,Maintain Difficulty,Rule_07
7,Maintain Difficulty,Semantic features are inconsistent,90,47,86,1,0.798,0.754,0.27,0.4,Easy,2,0,Maintain Difficulty,Rule_07
7,Maintain Difficulty,Semantic features are inconsistent,72,26,49,5,0.682,0.406,0.621,0.213,Medium,0,1,Maintain Difficulty,Rule_07
7,Maintain Difficulty,Semantic features are inconsistent,95,80,82,5,1.0,0.633,0.255,0.778,Easy,0,1,Maintain Difficulty,Rule_07
7,Maintain Difficulty,Semantic features are inconsistent,63,45,22,6,0.587,0.348,0.88,0.407,Easy,1,0,Maintain Difficulty,Rule_07
7,Maintain Difficulty,Semantic features are inconsistent,42,56,83,3,0.416,0.444,0.25,0.547,Hard,0,1,Maintain Difficulty,Rule_07
7,Maintain Difficulty,Semantic features are inconsistent,93,84,86,4,0.959,0.684,0.219,0.819,Easy,0,2,Maintain Difficulty,Rule_07
7,Maintain Difficulty,Semantic features are inconsistent,68,25,44,5,0.633,0.384,0.666,0.197,Easy,0,1,Maintain Difficulty,Rule_07
7,Maintain Difficulty,Semantic features are inconsistent,91,62,80,4,0.919,0.623,0.292,0.582,Easy,2,0,Maintain Difficulty,Rule_07
7,Maintain Difficulty,Semantic features are inconsistent,94,61,52,4,0.901,0.627,0.591,0.554,Hard,0,1,Maintain Difficulty,Rule_07
7,Maintain Difficulty,Semantic features are inconsistent,71,27,59,4,0.655,0.458,0.52,0.22,Hard,0,1,Maintain Difficulty,Rule_07
7,Maintain Difficulty,Semantic features are inconsistent,91,59,69,4,0.892,0.629,0.411,0.549,Easy,0,1,Maintain Difficulty,Rule_07
7,Maintain Difficulty,Semantic features are inconsistent,98,54,84,0,0.871,0.832,0.298,0.471,Easy,0,1,Maintain Difficulty,Rule_07
7,Maintain Difficulty,Semantic features are inconsistent,95,53,70,3,0.893,0.677,0.418,0.478,Medium,0,1,Maintain Difficulty,Rule_07
7,Maintain Difficulty,Semantic features are inconsistent,92,88,65,4,0.92,0.668,0.445,0.852,Easy,0,1,Maintain Difficulty,Rule_07
7,Maintain Difficulty,Semantic features are inconsistent,93,88,82,4,0.961,0.683,0.267,0.859,Medium,0,1,Maintain Difficulty,Rule_07
7,Maintain Difficulty,Semantic features are inconsistent,80,39,54,2,0.7,0.601,0.594,0.325,Medium,1,0,Maintain Difficulty,Rule_07
7,Maintain Difficulty,Semantic features are inconsistent,95,72,78,4,0.958,0.664,0.309,0.688,Medium,1,0,Maintain Difficulty,Rule_07
3,Probe Missing Concept,Semantic features are inconsistent,95,75,73,4,0.895,0.826,0.314,0.61,Medium,1,0,Probe Missing Concept,Rule_03
3,Probe Missing Concept,Semantic features are inconsistent,91,75,81,4,0.846,0.848,0.313,0.706,Medium,0,1,Probe Missing Concept,Rule_03
3,Probe Missing Concept,Semantic features are inconsistent,93,73,97,4,0.862,0.922,0.34,0.898,Medium,0,2,Probe Missing Concept,Rule_03
3,Probe Missing Concept,Semantic features are inconsistent,93,85,82,5,0.839,0.953,0.211,0.703,Medium,1,0,Probe Missing Concept,Rule_03
3,Probe Missing Concept,Semantic features are inconsistent,94,84,92,4,0.897,0.914,0.208,0.842,Medium,2,0,Probe Missing Concept,Rule_03
3,Probe Missing Concept,Semantic features are inconsistent,92,77,86,4,0.863,0.871,0.298,0.762,Easy,0,1,Probe Missing Concept,Rule_03
3,Probe Missing Concept,Semantic features are inconsistent,93,76,89,4,0.87,0.883,0.302,0.799,Easy,2,0,Probe Missing Concept,Rule_03
3,Probe Missing Concept,Semantic features are inconsistent,95,78,100,4,0.899,0.933,0.274,0.944,Easy,1,0,Probe Missing Concept,Rule_03
3,Probe Missing Concept,Semantic features are inconsistent,95,88,89,4,0.883,0.968,0.161,0.794,Medium,0,1,Probe Missing Concept,Rule_03
3,Probe Missing Concept,Semantic features are inconsistent,93,84,89,4,0.885,0.891,0.203,0.805,Medium,1,0,Probe Missing Concept,Rule_03
3,Probe Missing Concept,Semantic features are inconsistent,91,70,66,6,0.804,0.827,0.389,0.513,Medium,0,1,Probe Missing Concept,Rule_03
3,Probe Missing Concept,Semantic features are inconsistent,92,79,78,4,0.861,0.843,0.272,0.665,Medium,2,0,Probe Missing Concept,Rule_03
3,Probe Missing Concept,Semantic features are inconsistent,92,82,86,4,0.871,0.867,0.226,0.767,Easy,2,0,Probe Missing Concept,Rule_03
3,Probe Missing Concept,Correctness 100 > 95 with Missing 4 > 3,100,86,100,4,0.94,1.0,0.193,0.965,Easy,0,1,Probe Missing Concept,Rule_03
3,Probe Missing Concept,Semantic features are inconsistent,91,77,91,4,0.846,0.896,0.291,0.828,Easy,0,1,Probe Missing Concept,Rule_03
3,Probe Missing Concept,Semantic features are inconsistent,91,81,74,4,0.852,0.824,0.237,0.626,Easy,0,1,Probe Missing Concept,Rule_03
3,Probe Missing Concept,Semantic features are inconsistent,91,78,77,5,0.842,0.855,0.28,0.649,Easy,0,2,Probe Missing Concept,Rule_03
3,Probe Missing Concept,Semantic features are inconsistent,91,74,76,4,0.87,0.79,0.327,0.642,Medium,1,0,Probe Missing Concept,Rule_03
